balldontlie_id,mlb_id,full_name
3224,571510,Matthew Boyd
958,687134,Bradley Blalock
5349,676083,Janson Junk
418,669923,George Kirby
850,669358,Shane Baz
603,607481,Aaron Bummer
708,676440,Tanner Bibee
78,593423,Frankie Montas
558,681347,Mike Burrows
1017,594798,Jacob deGrom
11933,829272,Shinnosuke Ogasawara
24,668678,Zac Gallen
208,660271,Shohei Ohtani
473,554430,Zack Wheeler
741,592332,Kevin Gausman
5439,608331,Max Fried
67,663903,Brady Singer
743,669432,Trevor Rogers
159,663554,Casey Mize
555,676979,Garrett Crochet
172,607200,Erick Fedde
534,680732,Sean Burke
119,672582,Angel Zerpa
843,663485,Cole Sands
481,664285,Framber Valdez
3198,605540,Brandon Woodruff
1727,579328,Yusei Kikuchi
928,694738,Landen Roupp
242,506433,Yu Darvish
949,682052,Jacob Lopez
